ID,Level of Student,Graduate Level of Student,Total Men,Total Women,American Indian Alaskan Men,American Indian Alaskan Women,Asian Men,Asian Women,African American Men,African American Women,Hispanic Men,Hispanic Women,Hawaiian or Pacific Islander Men,Hawaiian or Pacific Islander Women,White Men,White Women,Mixed Race Men,Mixed Race Women,Unknown Race Men,Unknown Race Women,Non-Resident Alien Men,Non-Resident Alien Women
216807,19,2,8,6,0,0,0,0,1,0,0,0,0,0,4,6,0,0,3,0,0,0
216807,20,2,402,484,6,2,0,2,27,10,7,2,2,2,287,375,1,7,71,83,1,1
216807,22,2,507,611,6,2,0,3,41,16,9,5,2,2,367,502,2,7,79,73,1,1
216807,23,2,505,607,6,2,0,3,41,16,9,5,2,2,367,499,2,7,77,72,1,1
216807,24,2,133,169,0,1,0,1,14,7,3,3,0,0,97,140,2,0,17,17,0,0
216807,25,2,372,438,6,1,0,2,27,9,6,2,2,2,270,359,0,7,60,55,1,1
216807,31,2,2,4,0,0,0,0,0,0,0,0,0,0,0,3,0,0,2,1,0,0
216807,39,2,8,6,0,0,0,0,1,0,0,0,0,0,4,6,0,0,3,0,0,0
216807,40,2,364,432,6,1,0,2,26,9,6,2,2,2,266,353,0,7,57,55,1,1
216807,42,2,53,64,0,1,0,0,1,1,1,1,0,0,27,28,1,0,23,33,0,0
216807,43,2,39,52,0,1,0,0,1,1,1,0,0,0,22,22,1,0,14,28,0,0
216807,44,2,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
216807,45,2,38,52,0,1,0,0,1,1,1,0,0,0,21,22,1,0,14,28,0,0
216807,51,2,14,12,0,0,0,0,0,0,0,1,0,0,5,6,0,0,9,5,0,0
216807,60,2,38,52,0,1,0,0,1,1,1,0,0,0,21,22,1,0,14,28,0,0
216816,1,1,659,339,0,0,120,63,20,6,17,15,2,3,331,200,10,4,43,26,116,22
216816,12,4,659,339,0,0,120,63,20,6,17,15,2,3,331,200,10,4,43,26,116,22
216825,1,1,2103,4100,3,2,31,50,64,130,65,92,0,0,1837,3569,76,208,15,28,12,21
216825,2,2,2103,4100,3,2,31,50,64,130,65,92,0,0,1837,3569,76,208,15,28,12,21
216825,3,2,1198,2562,2,1,10,10,41,118,48,61,0,0,1042,2204,45,143,3,9,7,16
216825,4,2,414,778,2,0,5,3,19,46,19,26,0,0,348,649,18,47,1,5,2,2
216825,5,2,784,1784,0,1,5,7,22,72,29,35,0,0,694,1555,27,96,2,4,5,14
216825,11,2,905,1538,1,1,21,40,23,12,17,31,0,0,795,1365,31,65,12,19,5,5
216825,19,2,8,26,0,0,1,0,0,2,0,0,0,0,7,21,0,3,0,0,0,0
216825,20,2,776,1758,0,1,4,7,22,70,29,35,0,0,687,1534,27,93,2,4,5,14
216825,22,2,661,994,2,0,5,7,15,29,24,23,0,0,585,866,23,56,4,3,3,10
216825,23,2,575,902,2,0,4,4,15,28,21,18,0,0,507,791,20,50,3,2,3,9
216825,24,2,233,317,2,0,2,0,9,13,7,7,0,0,204,278,7,17,1,0,1,2
216825,25,2,342,585,0,0,2,4,6,15,14,11,0,0,303,513,13,33,2,2,2,7
216825,31,2,86,92,0,0,1,3,0,1,3,5,0,0,78,75,3,6,1,1,0,1
216825,39,2,5,4,0,0,1,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0
216825,40,2,337,581,0,0,1,4,6,15,14,11,0,0,299,509,13,33,2,2,2,7
216825,42,2,1442,3106,1,2,26,43,49,101,41,69,0,0,1252,2703,53,152,11,25,9,11
216825,43,2,623,1660,0,1,6,6,26,90,27,43,0,0,535,1413,25,93,0,7,4,7
216825,44,2,181,461,0,0,3,3,10,33,12,19,0,0,144,371,11,30,0,5,1,0
216825,45,2,442,1199,0,1,3,3,16,57,15,24,0,0,391,1042,14,63,0,2,3,7
216825,51,2,819,1446,1,1,20,37,23,11,14,26,0,0,717,1290,28,59,11,18,5,4
216825,59,2,3,22,0,0,0,0,0,2,0,0,0,0,3,17,0,3,0,0,0,0
216825,60,2,439,1177,0,1,3,3,16,55,15,24,0,0,388,1025,14,60,0,2,3,7
216852,1,1,2354,4765,2,14,96,143,288,781,124,320,0,3,1548,2764,56,115,134,545,106,80
216852,2,2,1330,1986,1,3,54,59,148,283,70,126,0,2,938,1273,36,49,46,178,37,13
216852,3,2,1289,1834,1,3,48,55,146,253,68,112,0,1,919,1199,36,47,36,151,35,13
216852,4,2,303,376,0,1,14,15,36,46,18,30,0,0,209,245,5,8,12,28,9,3
216852,5,2,986,1458,1,2,34,40,110,207,50,82,0,1,710,954,31,39,24,123,26,10
216852,11,2,41,152,0,0,6,4,2,30,2,14,0,1,19,74,0,2,10,27,2,0
216852,12,4,1024,2779,1,11,42,84,140,498,54,194,0,1,610,1491,20,66,88,367,69,67
216852,19,2,45,83,0,0,1,4,11,29,1,8,0,0,28,39,1,2,0,0,3,1
216852,20,2,941,1375,1,2,33,36,99,178,49,74,0,1,682,915,30,37,24,123,23,9
216852,22,2,1212,1522,1,1,46,50,131,203,68,103,0,2,869,1089,34,40,31,24,32,10
216852,23,2,1208,1484,1,1,45,50,130,191,68,99,0,1,867,1070,34,39,31,23,32,10
216852,24,2,293,323,0,0,14,14,32,40,18,28,0,0,204,226,5,4,12,9,8,2
216852,25,2,915,1161,1,1,31,36,98,151,50,71,0,1,663,844,29,35,19,14,24,8
216852,31,2,4,38,0,0,1,0,1,12,0,4,0,1,2,19,0,1,0,1,0,0
216852,39,2,41,81,0,0,1,4,10,27,1,8,0,0,25,39,1,2,0,0,3,1
216852,40,2,874,1080,1,1,30,32,88,124,49,63,0,1,638,805,28,33,19,14,21,7
216852,42,2,118,464,0,2,8,9,17,80,2,23,0,0,69,184,2,9,15,154,5,3
216852,43,2,81,350,0,2,3,5,16,62,0,13,0,0,52,129,2,8,5,128,3,3
216852,44,2,10,53,0,1,0,1,4,6,0,2,0,0,5,19,0,4,0,19,1,1
216852,45,2,71,297,0,1,3,4,12,56,0,11,0,0,47,110,2,4,5,109,2,2
216852,51,2,37,114,0,0,5,4,1,18,2,10,0,0,17,55,0,1,10,26,2,0
216852,59,2,4,2,0,0,0,0,1,2,0,0,0,0,3,0,0,0,0,0,0,0
216852,60,2,67,295,0,1,3,4,11,54,0,11,0,0,44,110,2,4,5,109,2,2
216931,1,1,2204,4401,4,6,61,130,146,380,139,223,1,6,1618,3350,51,106,89,135,95,65
216931,2,2,1246,1315,2,1,35,41,80,42,103,103,1,2,828,960,33,44,72,58,92,64
216931,3,2,1110,1159,2,1,25,33,76,40,95,98,1,1,777,862,29,38,19,23,86,63
216931,4,2,258,263,0,0,7,6,24,10,30,25,0,0,175,189,6,9,1,0,15,24
216931,5,2,852,896,2,1,18,27,52,30,65,73,1,1,602,673,23,29,18,23,71,39
216931,11,2,136,156,0,0,10,8,4,2,8,5,0,1,51,98,4,6,53,35,6,1
216931,12,4,958,3086,2,5,26,89,66,338,36,120,0,4,790,2390,18,62,17,77,3,1
216931,19,2,59,131,0,0,0,5,7,4,7,15,0,0,43,103,2,2,0,1,0,1
216931,20,2,793,765,2,1,18,22,45,26,58,58,1,1,559,570,21,27,18,22,71,38
216931,22,2,1029,1059,2,1,23,30,70,37,87,86,1,1,722,791,28,33,18,21,78,59
216931,23,2,1028,1058,2,1,23,30,70,37,87,86,1,1,721,790,28,33,18,21,78,59
216931,24,2,248,256,0,0,7,6,21,10,26,24,0,0,172,185,6,7,1,0,15,24
216931,25,2,780,802,2,1,16,24,49,27,61,62,1,1,549,605,22,26,17,21,63,35
216931,31,2,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
216931,39,2,53,108,0,0,0,5,6,2,7,11,0,0,39,88,1,2,0,0,0,0
216931,40,2,727,694,2,1,16,19,43,25,54,51,1,1,510,517,21,24,17,21,63,35
216931,42,2,217,256,0,0,12,11,10,5,16,17,0,1,106,169,5,11,54,37,14,5
216931,43,2,82,101,0,0,2,3,6,3,8,12,0,0,56,72,1,5,1,2,8,4
216931,44,2,10,7,0,0,0,0,3,0,4,1,0,0,3,4,0,2,0,0,0,0
216931,45,2,72,94,0,0,2,3,3,3,4,11,0,0,53,68,1,3,1,2,8,4
216931,51,2,135,155,0,0,10,8,4,2,8,5,0,1,50,97,4,6,53,35,6,1
216931,59,2,6,23,0,0,0,0,1,2,0,4,0,0,4,15,1,0,0,1,0,1
216931,60,2,66,71,0,0,2,3,2,1,4,7,0,0,49,53,0,3,1,1,8,3
216940,1,1,254,0,0,0,1,0,24,0,17,0,0,0,206,0,6,0,0,0,0,0
216940,2,2,254,0,0,0,1,0,24,0,17,0,0,0,206,0,6,0,0,0,0,0
216940,3,2,254,0,0,0,1,0,24,0,17,0,0,0,206,0,6,0,0,0,0,0
216940,4,2,93,0,0,0,0,0,8,0,7,0,0,0,75,0,3,0,0,0,0,0
216940,5,2,161,0,0,0,1,0,16,0,10,0,0,0,131,0,3,0,0,0,0,0
216940,19,2,5,0,0,0,0,0,1,0,0,0,0,0,4,0,0,0,0,0,0,0
216940,20,2,156,0,0,0,1,0,15,0,10,0,0,0,127,0,3,0,0,0,0,0
216940,22,2,254,0,0,0,1,0,24,0,17,0,0,0,206,0,6,0,0,0,0,0
216940,23,2,254,0,0,0,1,0,24,0,17,0,0,0,206,0,6,0,0,0,0,0
216940,24,2,93,0,0,0,0,0,8,0,7,0,0,0,75,0,3,0,0,0,0,0
216940,25,2,161,0,0,0,1,0,16,0,10,0,0,0,131,0,3,0,0,0,0,0
216940,39,2,5,0,0,0,0,0,1,0,0,0,0,0,4,0,0,0,0,0,0,0
216940,40,2,156,0,0,0,1,0,15,0,10,0,0,0,127,0,3,0,0,0,0,0
217013,1,1,565,1834,2,0,3,13,33,59,24,67,0,2,368,1356,11,26,114,304,10,7
217013,2,2,312,936,2,0,3,9,30,53,20,47,0,2,202,716,8,19,38,83,9,7
217013,3,2,139,645,1,0,1,5,18,42,16,42,0,2,82,509,5,17,8,22,8,6
217013,4,2,24,104,0,0,0,0,1,9,4,7,0,0,16,82,2,5,1,0,0,1
217013,5,2,115,541,1,0,1,5,17,33,12,35,0,2,66,427,3,12,7,22,8,5
217013,11,2,173,291,1,0,2,4,12,11,4,5,0,0,120,207,3,2,30,61,1,1
217013,12,4,253,898,0,0,0,4,3,6,4,20,0,0,166,640,3,7,76,221,1,0
217013,19,2,8,58,0,0,0,0,2,4,0,6,0,1,5,43,0,3,0,0,1,1
217013,20,2,107,483,1,0,1,5,15,29,12,29,0,1,61,384,3,9,7,22,7,4
217013,22,2,131,522,1,0,1,5,18,24,15,35,0,1,78,413,2,13,8,24,8,7
217013,23,2,122,494,1,0,1,4,18,24,15,34,0,1,71,394,2,13,6,18,8,6
217013,24,2,23,102,0,0,0,0,1,9,4,7,0,0,15,80,2,5,1,0,0,1
217013,25,2,99,392,1,0,1,4,17,15,11,27,0,1,56,314,0,8,5,18,8,5
217013,31,2,9,28,0,0,0,1,0,0,0,1,0,0,7,19,0,0,2,6,0,1
217013,39,2,6,37,0,0,0,0,2,2,0,5,0,0,3,28,0,1,0,0,1,1
217013,40,2,93,355,1,0,1,4,15,13,11,22,0,1,53,286,0,7,5,18,7,4
217013,42,2,181,414,1,0,2,4,12,29,5,12,0,1,124,303,6,6,30,59,1,0
217013,43,2,17,151,0,0,0,1,0,18,1,8,0,1,11,115,3,4,2,4,0,0
217013,44,2,1,2,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0
217013,45,2,16,149,0,0,0,1,0,18,1,8,0,1,10,113,3,4,2,4,0,0
217013,51,2,164,263,1,0,2,3,12,11,4,4,0,0,113,188,3,2,28,55,1,0
217013,59,2,2,21,0,0,0,0,0,2,0,1,0,1,2,15,0,2,0,0,0,0
217013,60,2,14,128,0,0,0,1,0,16,1,7,0,0,8,98,3,2,2,4,0,0
217040,1,1,48,0,0,0,0,0,0,0,0,0,0,0,47,0,0,0,0,0,1,0
217040,2,2,45,0,0,0,0,0,0,0,0,0,0,0,44,0,0,0,0,0,1,0
217040,3,2,45,0,0,0,0,0,0,0,0,0,0,0,44,0,0,0,0,0,1,0
217040,4,2,9,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,1,0
217040,5,2,36,0,0,0,0,0,0,0,0,0,0,0,36,0,0,0,0,0,0,0
217040,12,4,3,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0
217040,20,2,36,0,0,0,0,0,0,0,0,0,0,0,36,0,0,0,0,0,0,0
217040,22,2,45,0,0,0,0,0,0,0,0,0,0,0,44,0,0,0,0,0,1,0
217040,23,2,45,0,0,0,0,0,0,0,0,0,0,0,44,0,0,0,0,0,1,0
217040,24,2,9,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,1,0
217040,25,2,36,0,0,0,0,0,0,0,0,0,0,0,36,0,0,0,0,0,0,0
